action_id,inspection_id,incident_id,action_description,action_description_hindi,assigned_to,assigned_date,due_date,completion_date,status,priority,verification_required,verified_by,verification_date,delay_reason
CA-00010,INS-JH-001-4580,,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Maintenance Team,2023-06-15,2023-08-11,2023-08-18,Rejected,High,True,Rajesh Kumar,2023-08-19,
CA-00011,INS-JH-002-1309,,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Safety Team,2023-06-27,2023-07-29,2023-08-06,Completed,Low,True,Rajesh Kumar,2023-08-07,
CA-00012,INS-JH-002-2154,,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Environmental Team,2023-01-14,2023-03-08,2023-03-16,Completed,Critical,True,Rajesh Kumar,2023-03-17,
CA-00013,INS-JH-001-3444,INC-JH-002-071,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Environmental Team,2023-03-19,2023-05-07,,Overdue,Medium,False,,,Equipment unavailability
CA-00014,INS-JH-002-3041,INC-OD-001-287,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Maintenance Team,2023-08-30,2023-10-10,2023-10-17,Escalated,Medium,True,Sita Devi,2023-10-18,
CA-00015,INS-JH-002-1851,,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Maintenance Team,2023-10-29,2023-11-06,2023-11-14,In Progress,High,True,Sita Devi,2023-11-15,
CA-00016,INS-JH-001-2377,INC-JH-001-174,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Maintenance Team,2023-05-23,2023-07-21,2023-07-18,Escalated,Low,True,Sita Devi,2023-07-19,
CA-00017,INS-JH-002-0104,,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Environmental Team,2023-06-11,2023-07-24,,Completed,Medium,False,,,
CA-00018,INS-OD-001-4128,,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Maintenance Team,2023-03-21,2023-04-20,2023-04-16,In Progress,Low,False,,,
CA-00019,INS-OD-001-3199,,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Maintenance Team,2023-10-03,2023-11-17,2023-11-17,Rejected,Low,False,,,
CA-00020,INS-OD-001-4965,,Conduct training,Conduct training को लागू किया जाना चाहिए,Safety Team,2023-12-03,2024-01-16,2024-01-14,Escalated,Critical,True,Sita Devi,2024-01-15,
CA-00021,INS-JH-002-4526,,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Maintenance Team,2023-02-05,2023-03-04,,In Progress,Medium,False,,,
CA-00022,INS-JH-002-2504,,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Safety Team,2023-08-27,2023-10-17,,Open,Medium,False,,,
CA-00023,INS-JH-001-3525,INC-JH-002-281,Conduct training,Conduct training को लागू किया जाना चाहिए,Safety Team,2023-07-22,2023-08-25,2023-08-22,Open,High,True,Sita Devi,2023-08-23,
CA-00024,INS-OD-001-0632,INC-JH-001-197,Conduct training,Conduct training को लागू किया जाना चाहिए,Environmental Team,2023-01-30,2023-03-01,2023-03-11,Overdue,Critical,False,,,Waiting for approval
CA-00025,INS-JH-001-3859,INC-JH-001-196,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Safety Team,2023-11-18,2023-12-25,,Overdue,High,False,,,Waiting for approval
CA-00026,INS-JH-001-1225,,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Environmental Team,2023-12-31,2024-02-20,,Overdue,Medium,False,,,Waiting for approval
CA-00027,INS-OD-001-3501,,Conduct training,Conduct training को लागू किया जाना चाहिए,Safety Team,2023-07-10,2023-09-05,2023-09-04,Open,Critical,False,,,
CA-00028,INS-JH-002-3208,,Conduct training,Conduct training को लागू किया जाना चाहिए,Maintenance Team,2023-10-11,2023-11-14,2023-11-18,In Progress,Low,True,Sita Devi,2023-11-19,
CA-00029,INS-JH-001-2488,,Conduct training,Conduct training को लागू किया जाना चाहिए,Safety Team,2023-08-21,2023-09-09,2023-09-06,Completed,Critical,True,Sita Devi,2023-09-07,
CA-00030,INS-OD-001-1074,,Conduct training,Conduct training को लागू किया जाना चाहिए,Safety Team,2023-02-12,2023-03-03,2023-03-02,Escalated,Medium,True,Sita Devi,2023-03-03,
CA-00031,INS-JH-002-1767,,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Safety Team,2023-12-31,2024-02-16,2024-02-20,Rejected,Critical,False,,,
CA-00032,INS-OD-001-3694,,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Environmental Team,2023-12-22,2024-01-22,2024-01-30,Completed,Critical,False,,,
CA-00033,INS-JH-001-3952,,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Safety Team,2023-01-20,2023-03-05,2023-03-14,Escalated,High,False,,,
CA-00034,INS-JH-002-2590,,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Safety Team,2023-05-24,2023-06-03,2023-06-02,Open,Low,True,Sita Devi,2023-06-03,
CA-00035,INS-JH-001-3550,,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Safety Team,2023-03-25,2023-05-20,2023-05-22,In Progress,Medium,True,Rajesh Kumar,2023-05-23,
CA-00036,INS-JH-002-1704,INC-JH-001-034,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Environmental Team,2023-03-31,2023-04-26,,Rejected,Low,False,,,
CA-00037,INS-JH-001-0367,,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Maintenance Team,2023-08-05,2023-09-10,,Completed,Critical,False,,,
CA-00038,INS-OD-001-2472,INC-JH-002-008,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Maintenance Team,2023-11-13,2024-01-11,2024-01-12,Escalated,High,True,Sita Devi,2024-01-13,
CA-00039,INS-JH-001-3129,,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Safety Team,2023-12-18,2023-12-31,2023-12-26,Overdue,Critical,True,Rajesh Kumar,2023-12-27,Waiting for approval
CA-00040,INS-JH-002-1641,,Conduct training,Conduct training को लागू किया जाना चाहिए,Safety Team,2023-07-11,2023-08-17,2023-08-24,Rejected,High,True,Rajesh Kumar,2023-08-25,
CA-00041,INS-JH-001-1033,INC-JH-001-010,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Safety Team,2023-12-14,2024-01-29,2024-02-07,Completed,Low,False,,,
CA-00042,INS-JH-001-0461,,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Maintenance Team,2023-05-27,2023-06-12,,Overdue,Critical,False,,,Equipment unavailability
CA-00043,INS-JH-001-4093,,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Safety Team,2023-09-26,2023-11-02,2023-10-28,Escalated,Low,True,Sita Devi,2023-10-29,
CA-00044,INS-JH-001-1019,,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Safety Team,2023-02-25,2023-03-13,,Completed,Critical,False,,,
CA-00045,INS-OD-001-1852,INC-JH-002-187,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Environmental Team,2023-12-12,2024-01-28,2024-02-05,Escalated,Critical,True,Rajesh Kumar,2024-02-06,
CA-00046,INS-JH-001-3457,INC-OD-001-084,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Maintenance Team,2023-01-20,2023-03-02,2023-02-27,Escalated,Low,False,,,
CA-00047,INS-JH-001-0172,INC-JH-002-013,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Maintenance Team,2023-11-05,2023-12-18,,Rejected,Medium,False,,,
CA-00048,INS-OD-001-4482,,Conduct training,Conduct training को लागू किया जाना चाहिए,Safety Team,2023-01-04,2023-02-28,2023-02-27,Completed,Critical,True,Sita Devi,2023-02-28,
CA-00049,INS-OD-001-2479,INC-JH-002-160,Conduct training,Conduct training को लागू किया जाना चाहिए,Maintenance Team,2023-12-10,2024-01-15,2024-01-22,Overdue,Critical,False,,,Waiting for approval
CA-00050,INS-JH-002-1523,,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Maintenance Team,2023-10-26,2023-11-13,2023-11-08,Open,Critical,True,Rajesh Kumar,2023-11-09,
CA-00051,INS-JH-001-1592,,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Safety Team,2023-06-23,2023-08-20,2023-08-15,Rejected,Critical,False,,,
CA-00052,INS-OD-001-3900,,Conduct training,Conduct training को लागू किया जाना चाहिए,Environmental Team,2023-02-08,2023-04-02,,In Progress,Medium,False,,,
CA-00053,INS-JH-001-4938,,Conduct training,Conduct training को लागू किया जाना चाहिए,Environmental Team,2023-09-19,2023-10-01,2023-10-11,In Progress,Low,True,Rajesh Kumar,2023-10-12,
CA-00054,INS-JH-001-2221,,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Maintenance Team,2023-10-15,2023-11-14,2023-11-20,In Progress,Critical,False,,,
CA-00055,INS-JH-001-4505,,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Safety Team,2023-07-30,2023-09-06,2023-09-06,Completed,Low,False,,,
CA-00056,INS-JH-002-2748,INC-OD-001-128,Conduct training,Conduct training को लागू किया जाना चाहिए,Maintenance Team,2023-01-28,2023-02-10,2023-02-16,Rejected,Medium,False,,,
CA-00057,INS-JH-002-4795,,Conduct training,Conduct training को लागू किया जाना चाहिए,Safety Team,2023-05-15,2023-05-23,2023-05-30,Overdue,Low,True,Rajesh Kumar,2023-05-31,Waiting for approval
CA-00058,INS-JH-001-1100,,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Safety Team,2023-12-25,2024-02-13,,Rejected,Critical,False,,,
CA-00059,INS-JH-001-4595,,Conduct training,Conduct training को लागू किया जाना चाहिए,Environmental Team,2023-10-29,2023-11-12,,In Progress,Low,False,,,
CA-00060,INS-OD-001-3954,,Conduct training,Conduct training को लागू किया जाना चाहिए,Safety Team,2023-02-01,2023-03-29,2023-03-29,Open,Low,True,Rajesh Kumar,2023-03-30,
CA-00061,INS-JH-002-4206,,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Maintenance Team,2023-04-13,2023-05-11,,Rejected,High,False,,,
CA-00062,INS-JH-001-1226,INC-JH-001-031,Conduct training,Conduct training को लागू किया जाना चाहिए,Safety Team,2023-01-31,2023-03-26,,Completed,High,False,,,
CA-00063,INS-JH-002-3918,,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Safety Team,2023-12-01,2024-01-24,2024-01-19,Escalated,High,True,Rajesh Kumar,2024-01-20,
CA-00064,INS-JH-001-3585,,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Environmental Team,2023-04-27,2023-06-03,,Escalated,Critical,False,,,
CA-00065,INS-JH-002-4008,,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Maintenance Team,2023-09-12,2023-09-22,,Escalated,High,False,,,
CA-00066,INS-JH-001-3423,,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Environmental Team,2023-04-16,2023-04-23,2023-04-23,Open,Low,True,Rajesh Kumar,2023-04-24,
CA-00067,INS-OD-001-1001,INC-JH-001-275,Conduct training,Conduct training को लागू किया जाना चाहिए,Maintenance Team,2023-06-18,2023-08-15,2023-08-12,Escalated,Low,True,Rajesh Kumar,2023-08-13,
CA-00068,INS-JH-001-0440,,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Maintenance Team,2023-04-28,2023-06-11,2023-06-21,In Progress,Critical,True,Rajesh Kumar,2023-06-22,
CA-00069,INS-JH-001-0335,,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Environmental Team,2023-08-29,2023-10-17,2023-10-12,Escalated,Low,False,,,
CA-00070,INS-JH-002-3760,,Conduct training,Conduct training को लागू किया जाना चाहिए,Maintenance Team,2023-08-24,2023-09-29,2023-10-08,Rejected,High,False,,,
CA-00071,INS-JH-001-4809,,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Maintenance Team,2023-09-26,2023-10-23,2023-10-20,In Progress,Low,True,Sita Devi,2023-10-21,
CA-00072,INS-OD-001-2140,,Conduct training,Conduct training को लागू किया जाना चाहिए,Environmental Team,2023-03-04,2023-04-30,2023-05-03,Completed,Medium,True,Rajesh Kumar,2023-05-04,
CA-00073,INS-JH-002-2094,,Conduct training,Conduct training को लागू किया जाना चाहिए,Environmental Team,2023-10-12,2023-11-29,2023-12-05,Completed,Low,False,,,
CA-00074,INS-OD-001-4967,,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Safety Team,2023-02-19,2023-02-26,2023-03-07,Completed,High,False,,,
CA-00075,INS-JH-002-4931,INC-OD-001-222,Conduct training,Conduct training को लागू किया जाना चाहिए,Environmental Team,2023-07-23,2023-09-12,,Escalated,Critical,False,,,
CA-00076,INS-JH-002-2056,,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Safety Team,2023-06-19,2023-07-11,2023-07-09,Escalated,Critical,True,Rajesh Kumar,2023-07-10,
CA-00077,INS-JH-002-1556,,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Environmental Team,2023-02-10,2023-04-09,2023-04-07,Open,Low,True,Rajesh Kumar,2023-04-08,
CA-00078,INS-JH-001-4978,,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Safety Team,2023-05-26,2023-06-28,2023-06-29,Open,Critical,True,Rajesh Kumar,2023-06-30,
CA-00079,INS-OD-001-2826,,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Safety Team,2023-05-28,2023-07-13,,Rejected,Low,False,,,
CA-00080,INS-OD-001-2220,INC-JH-002-060,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Safety Team,2023-10-22,2023-11-09,,Open,Critical,False,,,
CA-00081,INS-JH-002-0535,INC-OD-001-008,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Safety Team,2023-12-01,2023-12-25,2023-12-29,In Progress,High,False,,,
CA-00082,INS-JH-002-3802,,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Maintenance Team,2023-07-15,2023-09-05,2023-09-09,Overdue,Medium,True,Rajesh Kumar,2023-09-10,Waiting for approval
CA-00083,INS-JH-002-2890,,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Maintenance Team,2023-05-20,2023-06-09,2023-06-15,Open,Medium,False,,,
CA-00084,INS-JH-001-3347,INC-JH-002-138,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Maintenance Team,2023-05-06,2023-05-24,,Rejected,Medium,False,,,
CA-00085,INS-JH-001-3428,,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Environmental Team,2023-09-12,2023-11-09,2023-11-19,In Progress,Low,True,Sita Devi,2023-11-20,
CA-00086,INS-JH-001-4113,,Conduct training,Conduct training को लागू किया जाना चाहिए,Maintenance Team,2023-08-27,2023-09-10,2023-09-18,Completed,Critical,False,,,
CA-00087,INS-JH-002-2945,INC-OD-001-084,Conduct training,Conduct training को लागू किया जाना चाहिए,Maintenance Team,2023-04-15,2023-05-09,2023-05-16,Completed,High,True,Sita Devi,2023-05-17,
CA-00088,INS-JH-001-3423,,Conduct training,Conduct training को लागू किया जाना चाहिए,Maintenance Team,2023-06-24,2023-07-14,,In Progress,Critical,False,,,
CA-00089,INS-JH-001-4533,,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Environmental Team,2023-12-09,2024-02-07,2024-02-07,Open,Medium,True,Rajesh Kumar,2024-02-08,
CA-00090,INS-OD-001-0140,INC-JH-001-015,Conduct training,Conduct training को लागू किया जाना चाहिए,Safety Team,2023-11-18,2024-01-05,2024-01-05,Escalated,Medium,True,Rajesh Kumar,2024-01-06,
CA-00091,INS-JH-002-0391,,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Maintenance Team,2023-10-25,2023-11-07,2023-11-09,Escalated,Critical,True,Rajesh Kumar,2023-11-10,
CA-00092,INS-OD-001-3385,,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Safety Team,2023-02-08,2023-03-19,2023-03-15,Completed,Critical,True,Rajesh Kumar,2023-03-16,
CA-00093,INS-JH-002-0294,,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Environmental Team,2023-09-28,2023-10-24,2023-10-28,Open,Critical,False,,,
CA-00094,INS-JH-001-4313,,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Maintenance Team,2023-04-28,2023-06-01,2023-05-27,In Progress,Medium,True,Rajesh Kumar,2023-05-28,
CA-00095,INS-JH-002-4701,,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Maintenance Team,2023-10-13,2023-10-31,2023-10-28,In Progress,Low,True,Sita Devi,2023-10-29,
CA-00096,INS-JH-001-0167,,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Environmental Team,2023-01-10,2023-02-08,2023-02-05,Completed,Critical,True,Sita Devi,2023-02-06,
CA-00097,INS-OD-001-0421,INC-JH-002-072,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Maintenance Team,2023-01-19,2023-03-04,,Rejected,Critical,False,,,
CA-00098,INS-OD-001-4315,,Conduct training,Conduct training को लागू किया जाना चाहिए,Maintenance Team,2023-05-14,2023-07-10,2023-07-13,Completed,Medium,True,Sita Devi,2023-07-14,
CA-00099,INS-JH-002-1686,INC-JH-002-107,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Maintenance Team,2023-01-06,2023-01-15,,Open,High,False,,,
CA-00100,INS-JH-002-3318,INC-JH-001-121,Conduct training,Conduct training को लागू किया जाना चाहिए,Environmental Team,2023-04-01,2023-05-01,,Escalated,Low,False,,,
CA-00101,INS-JH-001-4312,INC-JH-001-148,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Maintenance Team,2023-02-25,2023-03-09,,Completed,Medium,False,,,
CA-00102,INS-OD-001-4118,,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Environmental Team,2023-12-03,2023-12-28,,Overdue,High,False,,,Parts not available
CA-00103,INS-OD-001-1937,,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Maintenance Team,2023-11-20,2023-12-13,2023-12-15,Escalated,Critical,False,,,
CA-00104,INS-JH-002-3010,,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Safety Team,2023-05-03,2023-05-30,2023-06-02,Overdue,Medium,False,,,Waiting for approval
CA-00105,INS-OD-001-2462,,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Safety Team,2023-01-19,2023-01-29,2023-02-02,Rejected,Low,True,Rajesh Kumar,2023-02-03,
CA-00106,INS-OD-001-1263,,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Safety Team,2023-10-12,2023-10-25,2023-10-29,Open,High,True,Sita Devi,2023-10-30,
CA-00107,INS-JH-001-0473,,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Safety Team,2023-08-11,2023-08-18,2023-08-25,Rejected,High,False,,,
CA-00108,INS-JH-002-4895,INC-JH-002-290,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Safety Team,2023-07-04,2023-08-03,2023-07-31,In Progress,Medium,False,,,
CA-00109,INS-JH-001-0671,INC-JH-002-069,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Environmental Team,2023-01-14,2023-02-08,,Open,High,False,,,
CA-00110,INS-JH-002-1352,,Conduct training,Conduct training को लागू किया जाना चाहिए,Maintenance Team,2023-01-12,2023-01-25,,Open,Critical,False,,,
CA-00111,INS-JH-001-0346,,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Safety Team,2023-03-31,2023-04-18,,In Progress,High,False,,,
CA-00112,INS-JH-001-4907,,Conduct training,Conduct training को लागू किया जाना चाहिए,Safety Team,2023-08-22,2023-10-14,2023-10-15,Completed,Low,True,Rajesh Kumar,2023-10-16,
CA-00113,INS-JH-002-1222,,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Maintenance Team,2023-06-11,2023-07-19,,In Progress,Critical,False,,,
CA-00114,INS-OD-001-3643,,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Environmental Team,2023-10-31,2023-11-30,,Escalated,High,False,,,
CA-00115,INS-JH-001-2630,,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Safety Team,2023-06-15,2023-08-01,2023-08-06,Open,High,False,,,
CA-00116,INS-JH-002-2033,,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Safety Team,2023-05-03,2023-06-14,2023-06-18,In Progress,Low,True,Sita Devi,2023-06-19,
CA-00117,INS-OD-001-3313,INC-JH-002-135,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Safety Team,2023-06-03,2023-07-27,,Escalated,Low,False,,,
CA-00118,INS-OD-001-3127,,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Safety Team,2023-06-19,2023-08-09,2023-08-05,Open,High,True,Rajesh Kumar,2023-08-06,
CA-00119,INS-OD-001-4472,,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Maintenance Team,2023-10-21,2023-11-18,2023-11-23,Completed,High,False,,,
CA-00120,INS-JH-002-1482,INC-OD-001-200,Conduct training,Conduct training को लागू किया जाना चाहिए,Maintenance Team,2023-09-05,2023-09-14,2023-09-17,Overdue,Critical,True,Rajesh Kumar,2023-09-18,Waiting for approval
CA-00121,INS-OD-001-2901,INC-JH-002-281,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Safety Team,2023-01-28,2023-02-26,,Rejected,Medium,False,,,
CA-00122,INS-JH-001-1494,,Conduct training,Conduct training को लागू किया जाना चाहिए,Safety Team,2023-11-21,2023-12-29,2023-12-27,Completed,Medium,True,Sita Devi,2023-12-28,
CA-00123,INS-JH-001-1969,,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Environmental Team,2023-05-06,2023-06-06,2023-06-10,Open,Medium,True,Rajesh Kumar,2023-06-11,
CA-00124,INS-JH-001-2203,,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Environmental Team,2023-11-17,2024-01-16,2024-01-20,Overdue,Low,True,Rajesh Kumar,2024-01-21,Parts not available
CA-00125,INS-OD-001-4749,,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Safety Team,2023-08-12,2023-08-31,2023-08-29,Overdue,Critical,True,Sita Devi,2023-08-30,Waiting for approval
CA-00126,INS-JH-002-4039,,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Environmental Team,2023-10-22,2023-10-31,,Completed,High,False,,,
CA-00127,INS-JH-001-1819,,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Maintenance Team,2023-12-24,2024-01-09,2024-01-05,Rejected,Low,False,,,
CA-00128,INS-JH-001-1777,,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Maintenance Team,2023-10-08,2023-10-16,2023-10-25,Escalated,Critical,True,Rajesh Kumar,2023-10-26,
CA-00129,INS-OD-001-3301,,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Maintenance Team,2023-12-22,2024-01-24,2024-02-01,Rejected,High,True,Rajesh Kumar,2024-02-02,
CA-00130,INS-JH-001-3552,,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Maintenance Team,2023-09-30,2023-10-11,2023-10-21,In Progress,High,True,Rajesh Kumar,2023-10-22,
CA-00131,INS-JH-001-2208,,Conduct training,Conduct training को लागू किया जाना चाहिए,Maintenance Team,2023-11-02,2023-11-23,,Rejected,High,False,,,
CA-00132,INS-JH-001-4221,INC-JH-001-163,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Safety Team,2023-04-02,2023-05-02,2023-04-27,Open,High,True,Sita Devi,2023-04-28,
CA-00133,INS-OD-001-2305,,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Maintenance Team,2023-01-19,2023-02-08,,In Progress,Low,False,,,
CA-00134,INS-JH-001-4984,,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Maintenance Team,2023-02-26,2023-04-05,,Completed,High,False,,,
CA-00135,INS-JH-002-2900,,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Environmental Team,2023-10-06,2023-10-18,2023-10-27,Escalated,Critical,True,Rajesh Kumar,2023-10-28,
CA-00136,INS-JH-002-1305,,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Maintenance Team,2023-06-01,2023-06-27,,Overdue,Critical,False,,,Equipment unavailability
CA-00137,INS-JH-002-0736,,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Maintenance Team,2023-11-20,2023-12-08,2023-12-15,Completed,Low,False,,,
CA-00138,INS-JH-002-4826,,Conduct training,Conduct training को लागू किया जाना चाहिए,Safety Team,2023-05-17,2023-06-01,2023-06-11,Completed,Medium,False,,,
CA-00139,INS-JH-002-4786,INC-JH-001-186,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Safety Team,2023-03-31,2023-04-29,2023-05-06,In Progress,Medium,True,Sita Devi,2023-05-07,
CA-00140,INS-JH-001-2519,,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Environmental Team,2023-01-31,2023-02-08,2023-02-03,Open,Medium,False,,,
CA-00141,INS-JH-001-0592,INC-JH-002-237,Verify compliance,Verify compliance को लागू किया जाना चाहिए,Maintenance Team,2023-07-19,2023-08-20,2023-08-19,Completed,High,True,Sita Devi,2023-08-20,
CA-00142,INS-OD-001-3870,,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Maintenance Team,2023-03-08,2023-04-30,2023-05-04,In Progress,Low,True,Rajesh Kumar,2023-05-05,
CA-00143,INS-JH-002-2077,INC-OD-001-077,Install dust suppression,Install dust suppression को लागू किया जाना चाहिए,Environmental Team,2023-11-15,2023-12-08,,Escalated,High,False,,,
CA-00144,INS-JH-002-4564,INC-OD-001-045,Repair roof supports,Repair roof supports को लागू किया जाना चाहिए,Safety Team,2023-09-03,2023-09-17,2023-09-25,Rejected,High,True,Rajesh Kumar,2023-09-26,
